query_id,direction,representative_quantile,Budget-matched genetic CFE,CounterGAN one-shot,DP4 + full-budget sparse-diverse MMR,DiCE-style gradient,Original factual,Proposed DP-CounterGAN eps<=16,Proposed DP-CounterGAN eps<=2,Proposed DP-CounterGAN eps<=8,Proposed iterative CounterGAN,Uniform constrained random,Wachter-style
18,disease_to_no_disease,0.10101010101010101,p=0.000; energy: 5.854->5.464 | hjorth_comp: 5.57->5.397 | hjorth_mob: 0.1173->0.1196 | iqr: 0.125->0.13 | mad: 0.07438->0.07229 | max: 0.399->0.4409 | +12 more,p=0.000; energy: 5.854->4.053 | hjorth_comp: 5.57->7.335 | hjorth_mob: 0.1173->0.1198 | iqr: 0.125->0.09 | mad: 0.07438->0.07459 | max: 0.399->0.19 | +12 more,p=0.469; peak_freq: 6.669->3.334 | post_rr: 0.306->0.6212,p=0.000; energy: 5.854->5.88 | hjorth_comp: 5.57->6.437 | hjorth_mob: 0.1173->0.1248 | iqr: 0.125->0.15 | mad: 0.07438->0.06678 | max: 0.399->0.5136 | +12 more,p=0.800; none,p=0.006; peak_freq: 6.669->3.334 | pre_rr: 0.2733->0.5036,p=0.468; peak_freq: 6.669->3.334 | post_rr: 0.306->0.6233,p=0.019; pre_rr: 0.2733->0.4707,p=0.000; energy: 5.854->4.09 | hjorth_comp: 5.57->7.561 | hjorth_mob: 0.1173->0.1215 | iqr: 0.125->0.085 | mad: 0.07438->0.075 | max: 0.399->0.205 | +12 more,p=0.001; energy: 5.854->5.498 | hjorth_comp: 5.57->7.483 | hjorth_mob: 0.1173->0.1536 | iqr: 0.125->0.095 | mad: 0.07438->0.06797 | max: 0.399->0.4409 | +12 more,p=0.000; energy: 5.854->5.255 | hjorth_comp: 5.57->6.433 | hjorth_mob: 0.1173->0.126 | iqr: 0.125->0.15 | mad: 0.07438->0.0668 | max: 0.399->0.529 | +12 more
32,disease_to_no_disease,0.30303030303030304,p=0.001; energy: 79.02->61.59 | hjorth_comp: 13.88->8.486 | hjorth_mob: 0.06038->0.05572 | iqr: 0.091->0.095 | mad: 0.08815->0.07696 | max: -0.005->0.04228 | +11 more,p=0.028; energy: 79.02->9.939 | hjorth_comp: 13.88->14.14 | hjorth_mob: 0.06038->0.06102 | iqr: 0.091->0.06 | mad: 0.08815->0.0678 | max: -0.005->0.105 | +11 more,p=0.142; peak_freq: 3.334->6.669 | power_vhf: 0.0008552->0.002876,p=0.000; energy: 79.02->100.3 | hjorth_comp: 13.88->17.23 | hjorth_mob: 0.06038->0.07291 | iqr: 0.091->0.12 | mad: 0.08815->0.07269 | max: -0.005->0.0551 | +11 more,p=0.991; none,p=0.356; mad: 0.08815->0.0447 | peak_freq: 3.334->6.669 | power_vlf: 0.008493->0.001119,p=0.299; mad: 0.08815->0.03218 | peak_freq: 3.334->5.002,p=0.319; hjorth_mob: 0.06038->0.1053 | peak_freq: 3.334->5.002 | post_rr: 0.9355->0.6533 | power_vlf: 0.008493->0.001079 | spectral_entropy: 3.107->3.904,p=0.001; energy: 79.02->9.786 | hjorth_comp: 13.88->14.12 | hjorth_mob: 0.06038->0.07115 | iqr: 0.091->0.06 | mad: 0.08815->0.06255 | max: -0.005->0.115 | +11 more,p=0.021; energy: 79.02->52.45 | hjorth_comp: 13.88->8.486 | hjorth_mob: 0.06038->0.07098 | iqr: 0.091->0.095 | mad: 0.08815->0.08296 | max: -0.005->-0.04 | +12 more,p=0.000; energy: 79.02->100.2 | hjorth_comp: 13.88->17.18 | hjorth_mob: 0.06038->0.07252 | iqr: 0.091->0.12 | mad: 0.08815->0.0717 | max: -0.005->0.06241 | +11 more
47,disease_to_no_disease,0.5050505050505051,p=0.114; energy: 19.7->34.74 | hjorth_comp: 2.726->2.088 | hjorth_mob: 0.3609->0.1602 | iqr: 0.165->0.1699 | mad: 0.1196->0.119 | max: 1.073->0.8346 | +12 more,p=0.000; energy: 19.7->10.4 | hjorth_comp: 2.726->6.231 | hjorth_mob: 0.3609->0.1342 | iqr: 0.165->0.1637 | mad: 0.1196->0.1238 | max: 1.073->0.3677 | +12 more,p=0.470; hjorth_comp: 2.726->5.78 | peak_freq: 10->3.334,p=0.000; energy: 19.7->11.28 | hjorth_comp: 2.726->4.106 | hjorth_mob: 0.3609->0.5822 | iqr: 0.165->0.2619 | mad: 0.1196->0.08475 | max: 1.073->0.5982 | +12 more,p=1.000; none,p=0.378; hjorth_comp: 2.726->5.998 | peak_freq: 10->3.334,p=0.268; hjorth_comp: 2.726->6.312 | peak_freq: 10->3.334,p=0.140; peak_freq: 10->3.334 | pre_rr: 0.2805->0.6377,p=0.002; energy: 19.7->8.891 | hjorth_comp: 2.726->5.993 | hjorth_mob: 0.3609->0.1398 | iqr: 0.165->0.1737 | mad: 0.1196->0.1238 | max: 1.073->0.365 | +12 more,p=0.317; energy: 19.7->22.84 | hjorth_comp: 2.726->3.98 | hjorth_mob: 0.3609->0.204 | iqr: 0.165->0.7131 | mad: 0.1196->0.1185 | max: 1.073->0.4476 | +12 more,p=0.000; energy: 19.7->11.14 | hjorth_comp: 2.726->4.105 | hjorth_mob: 0.3609->0.5822 | iqr: 0.165->0.2621 | mad: 0.1196->0.08476 | max: 1.073->0.587 | +12 more
75,disease_to_no_disease,0.696969696969697,p=0.291; energy: 35.12->39.82 | hjorth_comp: 3.658->3.922 | hjorth_mob: 0.09776->0.1085 | iqr: 0.141->0.289 | mad: 0.1419->0.1377 | max: 0.956->0.5691 | +11 more,p=0.095; energy: 35.12->32.99 | hjorth_comp: 3.658->5.046 | hjorth_mob: 0.09776->0.09887 | iqr: 0.141->0.165 | mad: 0.1419->0.1289 | max: 0.956->0.3856 | +11 more,p=0.038; power_lf: 0.004162->0.0001629,p=0.000; energy: 35.12->14.23 | hjorth_comp: 3.658->4.458 | hjorth_mob: 0.09776->0.116 | iqr: 0.141->0.2392 | mad: 0.1419->0.1009 | max: 0.956->0.5144 | +11 more,p=1.000; none,p=0.000; peak_freq: 3.334->1.667 | power_lf: 0.004162->9.929e-05,p=0.180; hjorth_comp: 3.658->5.381 | post_rr: 0.259->0.5793 | pre_rr: 0.2917->0.6061,p=0.367; hjorth_comp: 3.658->5.466 | pre_rr: 0.2917->0.5501,p=0.019; energy: 35.12->25.66 | hjorth_comp: 3.658->5.024 | hjorth_mob: 0.09776->0.1003 | iqr: 0.141->0.149 | mad: 0.1419->0.1212 | max: 0.956->0.5824 | +11 more,p=0.215; energy: 35.12->39.32 | hjorth_comp: 3.658->4.542 | hjorth_mob: 0.09776->0.08856 | iqr: 0.141->0.4034 | mad: 0.1419->0.1215 | max: 0.956->0.3896 | +11 more,p=0.000; energy: 35.12->14.2 | hjorth_comp: 3.658->4.458 | hjorth_mob: 0.09776->0.1161 | iqr: 0.141->0.2391 | mad: 0.1419->0.1009 | max: 0.956->0.5125 | +11 more
97,disease_to_no_disease,0.898989898989899,p=0.083; energy: 3.385->3.247 | hjorth_comp: 19.64->19.12 | hjorth_mob: 0.07304->0.09821 | iqr: 0.101->0.11 | mad: 0.05979->0.06065 | max: 0.135->0.115 | +12 more,p=0.395; energy: 3.385->2.001 | hjorth_comp: 19.64->20.46 | hjorth_mob: 0.07304->0.06578 | iqr: 0.101->0.065 | mad: 0.05979->0.04676 | p2p: 0.318->0.425 | +11 more,p=0.002; p2p: 0.318->0.455 | peak_freq: 5.002->15.64 | post_rr: 1.577->1.326 | power_lf: 0.001651->0.0001421 | power_vhf: 8.895e-05->0.0003751,p=0.000; energy: 3.385->5.252 | hjorth_comp: 19.64->25.95 | hjorth_mob: 0.07304->0.1017 | iqr: 0.101->0.1542 | mad: 0.05979->0.04552 | max: 0.135->0.2077 | +12 more,p=1.000; none,p=0.006; peak_freq: 5.002->10 | post_rr: 1.577->0.8857 | power_lf: 0.001651->0.0001825 | power_vhf: 8.895e-05->0.001015,p=0.062; p2p: 0.318->0.45 | post_rr: 1.577->0.9274 | power_lf: 0.001651->0.0002726 | power_vhf: 8.895e-05->0.0003618,p=0.387; iqr: 0.101->0.03 | peak_freq: 5.002->15.33 | post_rr: 1.577->0.8893 | power_lf: 0.001651->0.0001093 | power_vhf: 8.895e-05->0.001118,p=0.288; energy: 3.385->2.215 | hjorth_comp: 19.64->17.9 | hjorth_mob: 0.07304->0.04674 | iqr: 0.101->0.065 | mad: 0.05979->0.04968 | max: 0.135->0.13 | +12 more,p=0.458; energy: 3.385->3.181 | hjorth_comp: 19.64->23.28 | hjorth_mob: 0.07304->0.08488 | iqr: 0.101->0.185 | mad: 0.05979->0.06846 | max: 0.135->0.00865 | +11 more,p=0.000; energy: 3.385->5.252 | hjorth_comp: 19.64->25.95 | hjorth_mob: 0.07304->0.1017 | iqr: 0.101->0.1542 | mad: 0.05979->0.04551 | max: 0.135->0.2072 | +12 more
108,no_disease_to_disease,0.696969696969697,p=1.000; energy: 9.805->8.996 | hjorth_comp: 3.11->2.137 | hjorth_mob: 0.2813->0.2878 | iqr: 0.101->0.08375 | mad: 0.09158->0.08675 | max: 0.591->1.244 | +11 more,p=0.999; energy: 9.805->10.63 | hjorth_comp: 3.11->5.412 | hjorth_mob: 0.2813->0.1225 | iqr: 0.101->0.1042 | mad: 0.09158->0.1405 | max: 0.591->0.5647 | +11 more,p=1.000; peak_freq: 3.334->1.667 | power_lf: 0.0007767->0.05337 | total_power: 0.01499->0.1773,p=1.000; energy: 9.805->8.142 | hjorth_comp: 3.11->1.967 | hjorth_mob: 0.2813->0.1763 | iqr: 0.101->0.085 | mad: 0.09158->0.118 | max: 0.591->0.4299 | +11 more,p=0.016; none,p=0.736; hjorth_mob: 0.2813->0.1069 | peak_freq: 3.334->5.002 | pre_rr: 0.8536->0.548 | spectral_entropy: 4.81->4.167,p=0.554; peak_freq: 3.334->5.002 | pre_rr: 0.8536->0.6141,p=0.693; pre_rr: 0.8536->0.5517,p=0.999; energy: 9.805->10.63 | hjorth_comp: 3.11->5.412 | hjorth_mob: 0.2813->0.1225 | iqr: 0.101->0.1042 | mad: 0.09158->0.1405 | max: 0.591->0.5647 | +11 more,p=0.734; energy: 9.805->5.436 | hjorth_comp: 3.11->2.137 | hjorth_mob: 0.2813->0.2952 | iqr: 0.101->0.075 | mad: 0.09158->0.09292 | max: 0.591->0.5388 | +11 more,p=1.000; energy: 9.805->7.962 | hjorth_comp: 3.11->1.966 | hjorth_mob: 0.2813->0.1764 | iqr: 0.101->0.085 | mad: 0.09158->0.118 | max: 0.591->0.4213 | +11 more
115,no_disease_to_disease,0.898989898989899,p=0.986; energy: 18.86->20.78 | hjorth_comp: 8.33->7.593 | hjorth_mob: 0.07154->0.07244 | iqr: 0.097->0.08978 | mad: 0.1075->0.1081 | max: 0.32->0.305 | +11 more,p=1.000; energy: 18.86->34.52 | hjorth_comp: 8.33->7.351 | hjorth_mob: 0.07154->0.06162 | iqr: 0.097->0.16 | mad: 0.1075->0.1357 | max: 0.32->0.3198 | +12 more,p=0.882; power_vhf: 0.004478->0.001749,p=1.000; energy: 18.86->15.31 | hjorth_comp: 8.33->7.741 | hjorth_mob: 0.07154->0.05811 | iqr: 0.097->0.085 | mad: 0.1075->0.1263 | p2p: 1.019->0.782 | +10 more,p=0.092; none,p=0.895; hjorth_comp: 8.33->5.581,p=0.535; p2p: 1.019->0.6,p=0.534; pre_rr: 0.4637->0.3245,p=1.000; energy: 18.86->42.81 | hjorth_comp: 8.33->6.471 | hjorth_mob: 0.07154->0.07264 | iqr: 0.097->0.2872 | mad: 0.1075->0.1562 | max: 0.32->0.33 | +12 more,p=0.993; energy: 18.86->13.22 | hjorth_comp: 8.33->8.732 | hjorth_mob: 0.07154->0.07225 | iqr: 0.097->0.125 | mad: 0.1075->0.3414 | max: 0.32->0.315 | +11 more,p=1.000; energy: 18.86->14.43 | hjorth_comp: 8.33->7.739 | hjorth_mob: 0.07154->0.05808 | iqr: 0.097->0.085 | mad: 0.1075->0.1263 | p2p: 1.019->0.7827 | +10 more
151,no_disease_to_disease,0.5050505050505051,p=0.995; energy: 11.53->11.08 | hjorth_comp: 6.981->6.373 | hjorth_mob: 0.08928->0.08851 | iqr: 0.082->0.08 | mad: 0.08392->0.09011 | max: 0.248->0.205 | +11 more,p=1.000; energy: 11.53->12.38 | hjorth_comp: 6.981->5.636 | hjorth_mob: 0.08928->0.09269 | iqr: 0.082->0.1763 | mad: 0.08392->0.2004 | max: 0.248->0.3738 | +12 more,p=0.563; hjorth_comp: 6.981->4.97 | iqr: 0.082->0.055,p=1.000; energy: 11.53->8.512 | hjorth_comp: 6.981->5.893 | hjorth_mob: 0.08928->0.07011 | iqr: 0.082->0.07 | mad: 0.08392->0.1171 | max: 0.248->0.185 | +11 more,p=0.004; none,p=0.708; post_rr: 0.3961->0.5937 | power_lf: 0.001091->0.005306 | pre_rr: 0.5128->0.3613 | total_power: 0.01203->0.0128,p=0.753; hjorth_comp: 6.981->4.965 | peak_freq: 3.334->6.669 | pre_rr: 0.5128->0.3374,p=0.541; peak_freq: 3.334->5.002 | pre_rr: 0.5128->0.2702,p=1.000; energy: 11.53->12.38 | hjorth_comp: 6.981->5.636 | hjorth_mob: 0.08928->0.09269 | iqr: 0.082->0.1763 | mad: 0.08392->0.2004 | max: 0.248->0.3738 | +12 more,p=0.849; energy: 11.53->101.3 | hjorth_comp: 6.981->5.475 | hjorth_mob: 0.08928->0.04427 | iqr: 0.082->0.07537 | mad: 0.08392->0.06961 | max: 0.248->0.205 | +11 more,p=1.000; energy: 11.53->8.335 | hjorth_comp: 6.981->5.893 | hjorth_mob: 0.08928->0.07003 | iqr: 0.082->0.07 | mad: 0.08392->0.1171 | max: 0.248->0.185 | +11 more
168,no_disease_to_disease,0.30303030303030304,p=0.687; energy: 33.36->38.36 | hjorth_comp: 4.879->4.538 | hjorth_mob: 0.08767->0.1029 | iqr: 0.155->0.4088 | mad: 0.1408->0.1335 | max: 1.17->0.566 | +11 more,p=1.000; energy: 33.36->38.56 | hjorth_comp: 4.879->6.263 | hjorth_mob: 0.08767->0.04724 | iqr: 0.155->0.1485 | mad: 0.1408->0.2789 | max: 1.17->0.9131 | +11 more,p=0.540; peak_freq: 3.334->5.002 | post_rr: 0.8352->0.3489 | pre_rr: 0.8158->0.4125,p=1.000; energy: 33.36->16.12 | hjorth_comp: 4.879->4.402 | hjorth_mob: 0.08767->0.06854 | iqr: 0.155->0.116 | mad: 0.1408->0.2357 | max: 1.17->1.326 | +11 more,p=0.001; none,p=1.000; std: 0.2093->0.5719 | var: 0.0438->0.3271,p=0.533; mad: 0.1408->0.2852 | power_lf: 0.005578->0.02406 | total_power: 0.03528->0.04191,p=0.607; peak_freq: 3.334->5.002 | post_rr: 0.8352->0.4706 | power_lf: 0.005578->0.02351 | pre_rr: 0.8158->0.6305 | total_power: 0.03528->0.04137,p=1.000; energy: 33.36->47.12 | hjorth_comp: 4.879->5.572 | hjorth_mob: 0.08767->0.06207 | mad: 0.1408->0.2938 | max: 1.17->1.106 | p2p: 1.37->1.43 | +10 more,p=0.762; energy: 33.36->38.36 | hjorth_comp: 4.879->5.849 | hjorth_mob: 0.08767->0.04802 | iqr: 0.155->0.2182 | mad: 0.1408->0.1034 | max: 1.17->1.134 | +11 more,p=1.000; energy: 33.36->15.85 | hjorth_comp: 4.879->4.402 | hjorth_mob: 0.08767->0.0685 | iqr: 0.155->0.116 | mad: 0.1408->0.2358 | max: 1.17->1.335 | +11 more
183,no_disease_to_disease,0.10101010101010101,p=0.997; energy: 12.56->8.179 | hjorth_comp: 11.92->5.543 | hjorth_mob: 0.07117->0.07146 | iqr: 0.111->0.106 | mad: 0.08536->0.1238 | max: 0.192->0.4294 | +11 more,p=0.998; energy: 12.56->12.99 | hjorth_comp: 11.92->11.51 | hjorth_mob: 0.07117->0.07044 | iqr: 0.111->0.09083 | mad: 0.08536->0.117 | max: 0.192->0.264 | +11 more,p=0.526; iqr: 0.111->0.06375 | max: 0.192->0.404 | peak_freq: 3.334->6.669 | power_lf: 0.0008807->0.002904,p=1.000; energy: 12.56->8.204 | hjorth_comp: 11.92->8.534 | hjorth_mob: 0.07117->0.04422 | iqr: 0.111->0.085 | mad: 0.08536->0.1188 | max: 0.192->0.145 | +11 more,p=0.000; none,p=0.838; iqr: 0.111->0.03367 | peak_freq: 3.334->16.67,p=0.807; iqr: 0.111->0.067 | peak_freq: 3.334->5.002 | power_lf: 0.0008807->0.01075 | total_power: 0.01191->0.01969,p=0.993; hjorth_comp: 11.92->5.24 | peak_freq: 3.334->10 | pre_rr: 0.7646->0.2794,p=1.000; energy: 12.56->14.13 | hjorth_comp: 11.92->8.455 | hjorth_mob: 0.07117->0.07327 | iqr: 0.111->0.09077 | mad: 0.08536->0.1193 | max: 0.192->0.305 | +11 more,p=0.932; energy: 12.56->27.15 | hjorth_comp: 11.92->5.946 | hjorth_mob: 0.07117->0.06676 | iqr: 0.111->0.1 | mad: 0.08536->0.06368 | max: 0.192->0.3928 | +12 more,p=1.000; energy: 12.56->8.166 | hjorth_comp: 11.92->8.534 | hjorth_mob: 0.07117->0.04424 | iqr: 0.111->0.085 | mad: 0.08536->0.1188 | max: 0.192->0.145 | +11 more
